,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop meaning,100,vaksin influenza,100,bantuan covid 19,100,malaysia mco,100,kes covid 19,100
1,sop share price,57,vaksin pneumococcal,23,bantuan khas covid 19,24,mco meaning,39,kes covid 19 malaysia,43
2,,,vaksin covid 19,18,borang bantuan covid 19,15,mco malaysia meaning,14,covid 19 malaysia,43
3,,,vaksin influenza harga,17,bantuan sara hidup,13,mco extended malaysia,8,kes covid 19 terkini,21
4,,,vaksin umrah,13,bantuan covid 19 rm100,9,rmo,5,jumlah kes covid 19,14
5,,,influenza a,10,bantuan kerajaan covid 19,7,mco extension,5,,
6,,,vaksin coronavirus,10,bantuan covid 19 rm600,6,moc,5,,
7,,,,,bantuan khas covid 19 rm100 sehari,3,mco means,4,,
8,,,,,,,maksud mco,3,,
9,,,,,,,what is mco malaysia,3,,
10,,,,,,,mco 意思,2,,
