,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop terkini,100,covid vaksin,100,bantuan khas covid,100,mco malaysia,100.0,kes covid hari ini,100
1,mkn,95,semakan vaksin,58,semakan bantuan covid,37,mco 3.0,74.0,kes covid 19,49
2,sop malaysia,95,vaksin malaysia,43,bantuan covid 19,35,mco selangor,21.0,kes covid malaysia,42
3,mkn sop,91,semak vaksin,39,semakan bantuan khas covid,32,sop mco 3.0,19.0,kes terkini covid,41
4,fasa 2 sop,69,vaksin covid 19,36,bantuan covid 2021,28,mco meaning,18.0,covid 19 malaysia,19
5,sop pkp,57,selepas vaksin,33,bkc,25,phase 2 mco,11.0,kes covid kedah,16
6,sop pkpd,51,vaksin pfizer,30,bantuan khas covid 19,23,mco 3.0 date,5.0,kes covid hari ini malaysia,16
7,ppn sop,50,vaksin sinovac,26,bantuan bkc,22,,,kes harian covid,16
8,sop fasa 1,48,daftar vaksin,24,bkc bantuan khas covid,21,,,kes covid 19 terkini,11
9,sop sabah,38,status vaksin,22,bantuan covid sabah,20,,,kes covid 19 hari ini,10
10,sop fasa 3,38,pusat vaksin,22,bantuan khas covid 2021,15,,,kes covid dunia,9
11,phase 2 sop,29,jenis vaksin,20,bpr,13,,,kes covid di kedah,8
12,pkp 3.0 sop,28,jenis jenis vaksin,19,semakan bkc,12,,,kes covid terkini malaysia,7
13,latest sop,27,temujanji vaksin,18,bantuan khas covid 19 semakan,10,,,kes covid hari ini kedah,7
14,pkpd selangor,26,kesan vaksin,16,bantuan nadma covid,9,,,kes covid terengganu,7
15,sop pkp terkini,23,mysejahtera vaksin,16,nadma,9,,,kes covid indonesia,6
16,emco sop,22,vaksin walk in,16,bantuan covid 3.0,8,,,kes covid pahang,6
17,sop covid 19,20,astrazeneca,15,bantuan khas covid 19 bkc,7,,,jumlah kes covid hari ini,6
18,sop ppn fasa 1,20,astrazeneca vaksin,15,bantuan covid sabah 3.0,6,,,covid 19 malaysia kes hari ini,5
19,miti sop,19,walk in vaksin,15,bantuan covid 19 sabah,5,,,kes harian covid malaysia,5
20,sop pkpd selangor,19,sijil vaksin,13,semakan bantuan khas covid 19 bkc,5,,,kes covid di kelantan,5
21,sop pkpd terkini,19,tarikh vaksin,12,semak bantuan khas covid,5,,,kes covid di perak,4
22,latest sop malaysia,16,cucuk vaksin,12,bantuan khas covid 19 2021,5,,,kes covid hari ini selangor,4
23,sop ppn fasa 2,15,vaksin check,11,semakan bantuan covid sabah,4,,,kes covid di sarawak,3
24,sop sabah terkini,14,vaksin covid malaysia,11,bantuan prihatin rakyat,4,,,kes covid hari ini terengganu,3
