,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop malaysia,100,vaksin covid 19,100,bantuan covid 19,100,mco malaysia,100,kes covid malaysia,100
1,pkpb sop,86,,,covid sabah bantuan,95,mco in malaysia,16,kes terkini covid,90
2,pkpb,83,,,covid 19 sabah bantuan,69,miti,15,kes covid 19 malaysia,68
3,sop covid 19,76,,,covid 19 sabah,67,mco meaning,12,covid 19 malaysia,67
4,sop pkpp,54,,,semakan bantuan covid sabah,10,mco extension,12,kes covid 19 terkini,55
5,mkn sop,54,,,semakan bantuan covid 19,10,pkp,8,kes covid hari ini,52
6,miti sop,53,,,permohonan bantuan covid 19 sabah,7,extend mco,8,kes covid terkini malaysia,39
7,sop meaning,53,,,bantuan sara hidup,6,miti mco application,7,kes covid di malaysia,34
8,sop pkp,52,,,pakej bantuan covid sabah,5,miti application,7,kes covid 19 malaysia terkini,30
9,mkn,45,,,semakan bantuan covid 19 sabah,5,mco announcement,6,kes covid mengikut negeri,23
10,maksud sop,34,,,bantuan covid 19 negeri sabah,5,mco news,6,jumlah kes covid 19,15
11,sop covid malaysia,34,,,bantuan covid 19 johor,4,miti approval mco,5,kes covid dunia,13
12,cmco sop,24,,,pakej bantuan covid 19 sabah,4,malaysia mco extension,5,kes covid 19 mengikut negeri,13
13,sop raya,16,,,bantuan khas covid 19,3,mco meaning malaysia,5,kes baharu covid 19,13
14,sop kedai makan,12,,,bantuan sara hidup covid 19,3,phase 4 mco,5,kes baru covid malaysia,12
15,what is sop,12,,,bantuan covid 19 sabah rm300,2,cmco,5,kes baru covid hari ini,9
16,sop kedai gunting rambut,10,,,permohonan pakej bantuan covid 19 sabah,2,mco period,4,kes covid 19 terkini di malaysia,9
17,sop pembukaan sekolah,10,,,pakej bantuan covid negeri sabah,2,malaysia mco extended,4,kes covid 19 dunia,9
18,sop 意思,9,,,i lestari kwsp,2,malaysia mco extend,4,kes terbaru covid,8
19,sop pkp fasa 4,6,,,borang bantuan covid 19 sabah,1,mco means,4,kes covid 19 malaysia hari ini,8
20,apa itu sop,6,,,bantuan covid 19 penggerak malaysia,1,singapore mco,4,jumlah kes covid 19 di malaysia,7
21,makna sop,6,,,permohonan pakej bantuan covid 19 kerajaan negeri sabah,0,diy open during mco,4,kkm,5
22,sop hari raya,4,,,bantuan ihsan covid 19 negeri johor,0,mco phase 3,4,kes baharu covid 19 hari ini,4
23,miti sop during mco,4,,,,,what is mco,4,kes baharu covid hari ini,4
24,sop in malay,4,,,,,miti approval during mco,3,kes baru covid malaysia hari ini,3
