,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop pkpb,100,vaksin covid,100,bantuan covid sabah,100,mco malaysia,100,kes covid 19,100
1,pkpb,93,vaksin covid 19,86,bantuan covid 19,63,cmco,44,kes covid terkini,90
2,cmco sop,61,vaksin kucing,44,bantuan covid 19 sabah,38,mco meaning,19,kes covid hari ini,89
3,cmco,55,vaksin covid 19 malaysia,39,semakan bantuan covid,22,selangor mco,14,kes covid malaysia,72
4,sop malaysia,52,vaksin pneumococcal,22,semakan bantuan covid sabah,16,mco extended,10,kes covid 19 terkini,33
5,mkn,47,,,permohonan bantuan covid sabah,12,klang mco,7,kes covid 19 malaysia,30
6,mkn sop,41,,,semakan bantuan covid 19,11,mco sabah,7,kes covid selangor,25
7,sop covid 19,25,,,pakej bantuan covid,8,mco 2.0,5,kes covid terkini malaysia,24
8,sop terkini,23,,,semakan bantuan covid 19 sabah,7,mco 是 什么,5,kes covid di malaysia,23
9,sop pkpb selangor,18,,,pakej bantuan covid sabah,6,mco means,3,kes covid sabah,18
10,pkpb selangor,16,,,permohonan bantuan covid 19 sabah,6,,,kes covid malaysia hari ini,18
11,sop pkpb terkini,15,,,bantuan khas covid 19,6,,,kes covid johor,18
12,sop meaning,13,,,pakej bantuan covid 19 sabah,6,,,pecahan kes covid,18
13,cmco malaysia,12,,,bantuan covid sabah 2.0,6,,,kes covid 19 hari ini,15
14,sop pkpp,12,,,bantuan covid rm300,5,,,kes covid 19 malaysia terkini,15
15,sop pkpb sabah,10,,,bantuan covid 19 sabah fasa 2,4,,,kes covid di selangor,13
16,deepavali sop,9,,,bantuan prihatin covid 19 sabah,2,,,kes covid di perak,12
17,miti sop,9,,,semak bantuan covid 19 sabah rm300,2,,,kes covid mengikut negeri,12
18,miti,7,,,,,,,kes covid di johor,11
19,sop covid 19 malaysia,5,,,,,,,kes terbaru covid,10
20,maksud sop,5,,,,,,,kes terkini covid di malaysia,9
21,majlis keselamatan negara,3,,,,,,,kes covid kelantan,9
22,sop deepavali 2020,3,,,,,,,kes covid 19 malaysia hari ini,9
23,sop majlis perkahwinan,3,,,,,,,kes covid di kelantan,8
24,sop 意思,2,,,,,,,kes covid melaka,8
