,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop 3.0,100,covid vaksin,100,bantuan covid sabah,100,mco 3.0,100,kes covid hari ini,100
1,sop pkp,100,vaksin covid 19,37,bantuan covid 19,83,malaysia mco,60,kes covid 19,83
2,pkp,99,vaksin malaysia,35,bantuan covid 19 sabah,28,mco sop,31,kes covid terkini,71
3,pkp 3.0,61,vaksin astrazeneca,30,bantuan khas covid 19,26,mco 3.0 sop,22,kes covid malaysia,47
4,pkp 3.0 sop,57,semakan vaksin,28,semakan bantuan covid sabah,23,mco 3.0 malaysia,18,kes covid 19 terkini,23
5,mco sop,51,vaksin daftar,25,bantuan covid 3.0,22,mco selangor,11,kes covid di kelantan,14
6,mkn,48,semak vaksin,18,bantuan covid sabah 2021,16,pkp,9,kes covid dunia,13
7,mkn sop,45,covid vaksin malaysia,13,bantuan covid sabah 3.0,13,mco announcement,9,kes covid malaysia hari ini,13
8,sop malaysia,41,status vaksin,13,permohonan bantuan covid sabah,13,mco news,8,kes harian covid,11
9,mco 3.0,37,jenis vaksin,12,bantuan covid sabah 2.0,5,mco malaysia 2021,7,kes covid di perak,10
10,sop terkini,34,vaksin sinovac,11,semakan bantuan covid 19 sabah,5,mco lockdown,7,kes covid malaysia terkini,8
11,sop mco 3.0,33,mysejahtera vaksin,11,bantuan khas covid 19 bkc,3,miti mco 3.0,6,kes covid sabah,7
12,raya sop,21,vaksin pfizer,10,bantuan untuk pesakit covid 19,1,full mco,6,kes covid di selangor,7
13,sop lockdown,18,jenis vaksin covid,8,,,kl mco,5,kes covid di kedah,7
14,pkpd sop,15,vaksin covid 19 malaysia,8,,,malaysia mco news,5,kes covid hari ini selangor,6
15,sop pkp terkini,15,semakan vaksin covid,8,,,mco meaning,5,kes covid india,6
16,pkpd,15,temujanji vaksin,7,,,penang mco,5,jumlah kes covid hari ini,6
17,sop sarawak,14,pusat vaksin,7,,,mco extended,5,covid 19 malaysia kes hari ini,5
18,sop sabah,14,vaccine malaysia,7,,,mco extension,5,kes covid hari ini kelantan,5
19,sop raya 2021,13,vaksin gov,7,,,pkp 3.0,5,taburan kes covid selangor,5
20,miti sop,13,pahang vaksin,7,,,cmco,4,kes covid di sarawak,5
21,sop pkpb,10,vaksin check,7,,,mco may 2021,4,kes covid hari ini kedah,4
22,fmco,10,pendaftaran vaksin,6,,,mco 3.0 date,4,kes baru covid hari ini,4
23,sop aidilfitri,10,daftar vaksin covid,6,,,mco sarawak,4,kes covid terkini sabah,3
24,sop meaning,8,jenis vaksin covid 19,6,,,selangor mco 3.0,4,kes covid di sarawak hari ini,3
